label,races,manshu_races,manshu_rate_pct,buy_races,points,stake_yen,hits,hit_rate_pct,manshu_hits,manshu_hit_rate_pct,payback_yen,profit_yen,roi_pct,roi_ex_top1_hit_pct,roi_ex_top3_hits_pct,max_hit_payout,top5_hit_payouts
codex_post_ai_exh_outer56_ai12_avg010_outerdouble__rank1_2,80,19,23.75,80,1146,114600,23,28.75,1,1.25,90780,-23820,79.21,60.87,49.08,21020,21020/6890/6630/5490/4980
codex_post_ai_exh_outer56_ai10_aiplus100_isshu2__round1_6,647,149,23.03,647,9294,929400,184,28.44,14,2.16,726630,-202770,78.18,73.83,70.14,40420,40420/19550/14740/14060/13620
codex_post_ai_exh_outer56_ai10_outerhead_b1avg0__all,197,54,27.41,197,2823,282300,58,29.44,4,2.03,218880,-63420,77.53,72.44,63.49,14380,14380/13620/11660/11520/8200
codex_post_ai_exh_rank6_outer_ai5_outertenji2__rank1_3,215,49,22.79,215,3087,308700,47,21.86,4,1.86,232000,-76700,75.15,65.29,57.12,30450,30450/13120/12090/11000/9790
codex_post_ai_exh_rank6_outer_ai5_outertenji2__all,362,88,24.31,362,5187,518700,81,22.38,6,1.66,373950,-144750,72.09,66.22,60.96,30450,30450/14190/13120/12090/11010
codex_post_ai_exh_rank6_outer_ai5_rank6exh__rank1_2,93,23,24.73,93,1347,134700,19,20.43,1,1.08,95110,-39590,70.61,60.87,46.35,13120,13120/9790/9770/9530/8800
codex_post_ai_exh_rank6_outer_ai5_rank6exh__round1_6,172,43,25.0,172,2466,246600,37,21.51,2,1.16,158620,-87980,64.32,58.57,50.13,14190,14190/11010/9790/9770/7750
codex_post_ai_exh_rank6_outer_ai5_outertenji2__round1_6,258,62,24.03,258,3699,369900,56,21.71,3,1.16,224470,-145430,60.68,56.85,50.6,14190,14190/12090/11010/9790/9770
codex_post_ai_exh_rank6_outer_ai5_outertenji2__rank1_2,149,36,24.16,149,2145,214500,29,19.46,2,1.34,128190,-86310,59.76,53.65,43.95,13120,13120/11000/9790/9770/9530
codex_post_ai_exh_b1aipred30_outeraiplus1_superslit__round7_12,87,17,19.54,87,1251,125100,19,21.84,1,1.15,68910,-56190,55.08,44.6,32.96,13120,13120/8280/6280/5400/5400
