segment,races,manshu,manshu_rate_pct,baseline_pct,lift_vs_morning_top5,ci95_low,ci95_high
codex_post_ai_exh_outer56_ai10_outerhead_b1avg0,197,54,27.41,19.76,1.39,21.66,34.03
codex_post_ai_exh_b1aipred30_outer56_ai12_outerdouble,155,42,27.1,19.76,1.37,20.72,34.58
codex_post_ai_exh_outer56_ai12_avg010_outerdouble,157,42,26.75,19.76,1.35,20.44,34.17
codex_post_ai_exh_rank6_outer_ai5_rank6exh,242,63,26.03,19.76,1.32,20.91,31.91
codex_post_ai_exh_rank6_outer_ai5_outertenji2,362,88,24.31,19.76,1.23,20.18,28.98
codex_post_ai_exh_outer56_ai10_aiplus100_isshu2,857,200,23.34,19.76,1.18,20.63,26.28
codex_post_ai_exh_b1aipred30_outeraiplus1_superslit,314,73,23.25,19.76,1.18,18.92,28.23
codex_post_ai_exh_b1aipred30_outer10_rank6exh,582,135,23.2,19.76,1.17,19.95,26.79
