label,races,manshu_races,manshu_rate_pct,buy_races,points,stake_yen,hits,hit_rate_pct,manshu_hits,manshu_hit_rate_pct,payback_yen,profit_yen,roi_pct,roi_ex_top1_hit_pct,roi_ex_top3_hits_pct,max_hit_payout,top5_hit_payouts
codex_post_ai_exh_b1aipred30_outer56_ai12_outerdouble,155,42,27.1,155,2211,221100,49,31.61,6,3.87,251000,29900,113.52,95.24,74.0,40420,40420/25950/21020/17060/13620
codex_post_ai_exh_b1aipred30_outeraiplus1_superslit,314,73,23.25,314,4524,452400,92,29.3,5,1.59,455370,2970,100.66,82.55,69.61,81920,81920/41290/17260/15900/13120
codex_post_ai_exh_outer56_ai12_avg010_outerdouble,157,42,26.75,157,2262,226200,45,28.66,4,2.55,216670,-9530,95.79,77.92,61.08,40420,40420/21020/17060/13620/6890
codex_post_ai_exh_b1aipred30_outer10_rank6exh,582,135,23.2,582,8364,836400,146,25.09,15,2.58,717170,-119230,85.74,78.38,71.68,61640,61640/30450/25590/19440/17260
codex_post_ai_exh_outer56_ai10_aiplus100_isshu2,857,200,23.34,857,12294,1229400,235,27.42,18,2.1,990580,-238820,80.57,75.56,70.56,61640,61640/40420/21020/19550/17060
codex_post_ai_exh_rank6_outer_ai5_rank6exh,242,63,26.03,242,3471,347100,56,23.14,4,1.65,275710,-71390,79.43,70.66,62.79,30450,30450/14190/13120/11010/9790
codex_post_ai_exh_outer56_ai10_outerhead_b1avg0,197,54,27.41,197,2823,282300,58,29.44,4,2.03,218880,-63420,77.53,72.44,63.49,14380,14380/13620/11660/11520/8200
codex_post_ai_exh_rank6_outer_ai5_outertenji2,362,88,24.31,362,5187,518700,81,22.38,6,1.66,373950,-144750,72.09,66.22,60.96,30450,30450/14190/13120/12090/11010
