segment,buy_races,total_points,avg_points,stake_yen,payback_yen,profit_yen,roi_pct,hit_rate_pct,manshu_hit_rate_pct,max_losing_streak,max_drawdown_yen
ALL,69,228,3.3,22800,115980,93180,508.68,8.7,5.8,24.0,7100.0
2024H1,0,0,,0,0,0,,,,,
2024H2,0,0,,0,0,0,,,,,
2025H1,21,70,3.33,7000,13340,6340,190.57,4.76,4.76,14.0,4500.0
2025H2,19,65,3.42,6500,80340,73840,1236.0,15.79,10.53,9.0,3000.0
2026H1,29,93,3.21,9300,22300,13000,239.78,6.9,3.45,15.0,4100.0
