registration_no,name,latest_class,lane1_starts,lane1_wins,lane1_top3,lane1_out_top3,lane1_win_rate,lane1_miss_win_rate,lane1_top3_rate,lane1_out_top3_rate,win_rate_wilson_low,top3_rate_wilson_low,miss_win_rate_wilson_low,out_top3_rate_wilson_low,win_rate_wilson_high,top3_rate_wilson_high,teppan_score,tobi_score,manshu_when_lane1_missed,manshu_rate_when_lane1_missed,avg_payout_when_lane1_missed,avg_payout_when_lane1_out_top3,avg_national_win_rate,avg_local_win_rate,avg_st,avg_motor_quinella_rate,avg_exhibition_rank,main_venues
5230,石原凪紗,B2,17,9,13,4,0.529412,0.470588,0.764706,0.235294,0.309629,0.527378,0.261648,0.095549,0.738352,0.904451,0.385841,0.203513,3,0.375,10868.8,13965.0,4.309,2.437,,30.334,1.353,常滑 / 蒲郡 / 浜名湖
4485,楠原正剛,A2,17,7,15,2,0.411765,0.588235,0.882353,0.117647,0.216108,0.656632,0.360051,0.032879,0.639949,0.967121,0.370291,0.245541,2,0.2,6830.0,6265.0,5.293,4.494,,28.971,3.588,児島 / 福岡 / 芦屋
4501,樋口由加,A2,17,9,12,5,0.529412,0.470588,0.705882,0.294118,0.309629,0.468665,0.261648,0.132798,0.738352,0.867202,0.365291,0.21655,2,0.25,13383.8,18878.0,5.009,5.076,,26.46,3.412,びわこ / 福岡 / 常滑
3841,佐々木和,A2,17,7,14,3,0.411765,0.588235,0.823529,0.176471,0.216108,0.589701,0.360051,0.06191,0.639949,0.93809,0.346865,0.255702,6,0.6,22320.0,17473.3,5.934,5.753,,29.225,2.647,鳴門 / 尼崎 / 唐津
3692,竹腰正樹,A2,17,6,15,2,0.352941,0.647059,0.882353,0.117647,0.173095,0.656632,0.413,0.032879,0.587,0.967121,0.342333,0.279957,2,0.181818,5436.4,3930.0,4.339,4.453,,36.516,2.941,三国 / 戸田 / 蒲郡
3805,高橋英之,A2,17,7,13,4,0.411765,0.588235,0.764706,0.235294,0.216108,0.527378,0.360051,0.095549,0.639949,0.904451,0.325052,0.267475,5,0.5,10349.0,17627.5,5.098,5.731,,33.421,2.882,住之江 / 三国 / 丸亀
4348,宮崎 奨,A2,17,7,13,4,0.411765,0.588235,0.764706,0.235294,0.216108,0.527378,0.360051,0.095549,0.639949,0.904451,0.325052,0.267475,3,0.3,10669.0,15660.0,5.908,5.874,,31.719,2.529,芦屋 / 丸亀 / 桐生
5012,加倉侑征,A2,17,6,14,3,0.352941,0.647059,0.823529,0.176471,0.173095,0.589701,0.413,0.06191,0.587,0.93809,0.318907,0.290118,3,0.272727,10525.5,16326.7,5.409,4.594,,28.178,3.529,若松 / 丸亀 / びわこ
3993,永井聖美,A2,17,7,12,5,0.411765,0.588235,0.705882,0.294118,0.216108,0.468665,0.360051,0.132798,0.639949,0.867202,0.304503,0.280512,2,0.2,6829.0,7382.0,5.102,4.609,,29.674,3.235,多摩川 / 徳山 / びわこ
4588,田中京介,A2,17,6,13,4,0.352941,0.647059,0.764706,0.235294,0.173095,0.527378,0.413,0.095549,0.587,0.904451,0.297094,0.301892,4,0.363636,12365.5,7345.0,5.588,5.465,,32.854,4.118,丸亀 / 唐津 / 常滑
4583,古田祐貴,A2,17,7,11,6,0.411765,0.588235,0.647059,0.352941,0.216108,0.413,0.360051,0.173095,0.639949,0.826905,0.28502,0.294616,4,0.4,20702.0,31743.3,5.392,5.607,,31.614,3.176,丸亀 / 宮島 / 江戸川
3934,鋤柄貴俊,B1,17,6,12,5,0.352941,0.647059,0.705882,0.294118,0.173095,0.468665,0.413,0.132798,0.587,0.867202,0.276544,0.314929,3,0.272727,7978.2,9352.0,4.962,4.965,,32.51,4.235,常滑 / 浜名湖 / 江戸川
4974,安井瑞紀,A1,17,5,12,5,0.294118,0.705882,0.705882,0.294118,0.132798,0.468665,0.468665,0.132798,0.531335,0.867202,0.250351,0.351111,5,0.416667,21492.5,36788.0,5.563,4.264,,27.105,2.647,常滑 / びわこ / 住之江
3951,石川吉鎬,A2,17,5,9,8,0.294118,0.705882,0.529412,0.470588,0.132798,0.309629,0.468665,0.261648,0.531335,0.738352,0.194689,0.396209,4,0.333333,14638.3,19330.0,5.275,5.727,,19.73,4.235,丸亀 / 住之江 / 蒲郡
3499,市川哲也,A2,16,15,16,0,0.9375,0.0625,1.0,0.0,0.716707,0.806387,0.011119,0.0,0.988881,1.0,0.748095,0.007227,1,1.0,12810.0,,6.439,5.407,,23.226,3.75,江戸川 / 芦屋 / 徳山
4072,森永 淳,A1,16,15,16,0,0.9375,0.0625,1.0,0.0,0.716707,0.806387,0.011119,0.0,0.988881,1.0,0.748095,0.007227,0,0.0,5660.0,,6.843,6.425,,36.698,1.5,若松 / 常滑 / 唐津
4908,上田龍星,A1,16,15,16,0,0.9375,0.0625,1.0,0.0,0.716707,0.806387,0.011119,0.0,0.988881,1.0,0.748095,0.007227,0,0.0,1240.0,,6.748,7.036,,32.499,1.812,住之江 / 常滑 / 三国
4624,高田 明,A1,16,14,15,1,0.875,0.125,0.9375,0.0625,0.639767,0.716707,0.034977,0.011119,0.965023,0.988881,0.666696,0.026627,2,1.0,41635.0,72420.0,6.581,5.871,,35.166,1.938,唐津 / 福岡 / びわこ
5004,河野主樹,B1,16,14,15,1,0.875,0.125,0.9375,0.0625,0.639767,0.716707,0.034977,0.011119,0.965023,0.988881,0.666696,0.026627,1,0.5,14105.0,7760.0,5.386,4.904,,28.501,2.188,尼崎 / 下関 / 多摩川
5112,砂長知輝,A1,16,14,15,1,0.875,0.125,0.9375,0.0625,0.639767,0.716707,0.034977,0.011119,0.965023,0.988881,0.666696,0.026627,0,0.0,5810.0,6730.0,6.761,6.561,,36.509,1.75,戸田 / 多摩川 / 徳山
4371,西山貴浩,A1,16,13,16,0,0.8125,0.1875,1.0,0.0,0.569906,0.806387,0.065915,0.0,0.934085,1.0,0.652674,0.042845,3,1.0,35980.0,,6.912,6.816,,40.558,3.938,芦屋 / 児島 / 蒲郡
