ranking_source,top_k,mode,formation,respect_skip,place_name,target_races,settled_races,bought_races,skipped_races,total_points,purchase_yen,return_yen,profit_yen,roi_pct,roi_without_max_hit_pct,hit_count,hit_rate_pct,manshu_hit_count,manshu_hit_rate_pct,selected_manshu_races,manshu_capture_rate_pct,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,max_losing_streak,max_drawdown_yen,sample_dates
strict,10,preview,A,False,尼崎,6,4,4,2,96,9600,5070,-4530,52.81,0.0,1,25.0,0,0.0,1,0.0,5070,5070,5070,3,7200,5
strict,10,preview,A,False,常滑,18,18,14,4,336,33600,23370,-10230,69.55,26.37,5,35.71,1,7.14,3,33.33,4674,1890,14510,3,14630,15
strict,10,preview,A,False,平和島,16,16,14,2,336,33600,37160,3560,110.6,67.68,6,42.86,2,14.29,4,50.0,6193.33,4170.0,14420,3,12660,10
strict,10,preview,A,False,徳山,5,5,5,0,120,12000,13680,1680,114.0,0.0,1,20.0,1,20.0,2,50.0,13680,13680,13680,4,9600,5
strict,10,preview,A,False,戸田,7,7,2,5,48,4800,1000,-3800,20.83,0.0,1,50.0,0,0.0,2,0.0,1000,1000,1000,1,3800,7
strict,10,preview,A,False,桐生,12,12,11,1,264,26400,21320,-5080,80.76,51.1,6,54.55,0,0.0,5,0.0,3553.33,2765.0,7830,2,8110,11
strict,10,preview,A,False,江戸川,19,18,18,1,432,43200,15370,-27830,35.58,28.01,6,33.33,0,0.0,2,0.0,2561.67,2410.0,3270,5,27830,12
strict,10,preview,A,False,津,5,5,4,1,96,9600,0,-9600,0.0,0.0,0,0.0,0,0.0,4,0.0,,,,4,9600,5
strict,10,preview,A,False,浜名湖,33,32,25,8,600,60000,105190,45190,175.32,74.55,9,36.0,3,12.0,12,25.0,11687.78,2330,60460,9,27800,21
strict,10,preview,A,False,福岡,3,3,2,1,48,4800,7860,3060,163.75,43.12,2,100.0,0,0.0,1,0.0,3930,3930.0,5790,0,330,3
strict,10,preview,A,False,芦屋,37,36,27,10,648,64800,43560,-21240,67.22,47.35,7,25.93,2,7.41,11,18.18,6222.86,3670,12880,6,22670,23
strict,10,preview,A,False,若松,46,45,41,5,984,98400,31450,-66950,31.96,21.57,8,19.51,1,2.44,8,12.5,3931.25,2875.0,10230,9,74640,24
strict,10,preview,A,False,蒲郡,6,6,6,0,144,14400,4740,-9660,32.92,13.12,2,33.33,0,0.0,0,,2370,2370.0,2850,3,9660,5
strict,10,preview,A,False,鳴門,60,60,58,2,1392,139200,100200,-39000,71.98,59.84,22,37.93,3,5.17,17,17.65,4554.55,2915.0,16900,6,40720,26
strict,10,preview,A,True,びわこ,4,4,3,1,72,7200,0,-7200,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,3,7200,3
strict,10,preview,A,True,三国,33,33,19,14,456,45600,71630,26030,157.08,83.64,8,42.11,3,15.79,15,20.0,8953.75,5560.0,33490,6,14400,20
strict,10,preview,A,True,下関,3,3,2,1,48,4800,1280,-3520,26.67,0.0,1,50.0,0,0.0,1,0.0,1280,1280,1280,1,3520,2
