ranking_source,top_k,mode,formation,respect_skip,month,target_races,settled_races,bought_races,skipped_races,total_points,purchase_yen,return_yen,profit_yen,roi_pct,roi_without_max_hit_pct,hit_count,hit_rate_pct,manshu_hit_count,manshu_hit_rate_pct,selected_manshu_races,manshu_capture_rate_pct,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,max_losing_streak,max_drawdown_yen,sample_dates
all,1,preview,D,True,2026-05,31,31,20,11,180,18000,18310,310,101.72,41.0,3,15.0,1,5.0,12,8.33,6103.33,4010,10930,9,8100,31
all,1,preview,D,True,2026-06,25,24,11,14,99,9900,3050,-6850,30.81,9.9,2,18.18,0,0.0,11,0.0,1525,1525.0,2070,5,6850,25
all,3,morning,A,False,2026-05,93,93,92,1,2208,220800,195780,-25020,88.67,73.5,33,35.87,5,5.43,26,19.23,5932.73,3370,33490,8,54930,31
all,3,morning,A,False,2026-06,75,71,47,28,1128,112800,134870,22070,119.57,79.77,17,36.17,3,6.38,20,15.0,7933.53,5150,44890,5,21770,25
all,3,morning,A,True,2026-05,93,93,61,32,1464,146400,180710,34310,123.44,100.56,26,42.62,5,8.2,26,19.23,6950.38,3930.0,33490,7,21390,31
all,3,morning,A,True,2026-06,75,71,35,40,840,84000,125090,41090,148.92,95.48,14,40.0,3,8.57,20,15.0,8935,5460.0,44890,4,15810,25
all,3,morning,B,False,2026-05,93,93,92,1,1656,165600,163320,-2280,98.62,78.4,21,22.83,5,5.43,26,19.23,7777.14,3780,33490,16,28800,31
all,3,morning,B,False,2026-06,75,71,47,28,846,84600,100700,16100,119.03,65.97,13,27.66,2,4.26,20,10.0,7746.15,5070,44890,10,24520,25
all,3,morning,B,True,2026-05,93,93,61,32,1098,109800,149230,39430,135.91,105.41,15,24.59,5,8.2,26,19.23,9948.67,9000,33490,10,18000,31
all,3,morning,B,True,2026-06,75,71,35,40,630,63000,90920,27920,144.32,73.06,10,28.57,2,5.71,20,10.0,9092,5295.0,44890,10,22280,25
all,3,morning,C,False,2026-05,93,93,92,1,1104,110400,114330,3930,103.56,73.22,17,18.48,4,4.35,26,15.38,6725.29,3770,33490,17,21990,31
all,3,morning,C,False,2026-06,75,71,47,28,564,56400,89520,33120,158.72,79.13,12,25.53,1,2.13,20,5.0,7460,4975.0,44890,10,14480,25
all,3,morning,C,True,2026-05,93,93,61,32,732,73200,100240,27040,136.94,91.19,11,18.03,4,6.56,26,15.38,9112.73,9240,33490,15,18000,31
all,3,morning,C,True,2026-06,75,71,35,40,420,42000,79740,37740,189.86,82.98,9,25.71,1,2.86,20,5.0,8860,5150,44890,10,14480,25
all,3,morning,D,False,2026-05,93,93,92,1,828,82800,77780,-5020,93.94,53.49,15,16.3,1,1.09,26,3.85,5185.33,2270,33490,20,31750,31
all,3,morning,D,False,2026-06,75,71,47,28,423,42300,46940,4640,110.97,66.1,9,19.15,1,2.13,20,5.0,5215.56,4870,18980,13,14840,25
all,3,morning,D,True,2026-05,93,93,61,32,549,54900,67930,13030,123.73,62.73,10,16.39,1,1.64,26,3.85,6793,3930.0,33490,16,20000,31
all,3,morning,D,True,2026-06,75,71,35,40,315,31500,37160,5660,117.97,57.71,6,17.14,1,2.86,20,5.0,6193.33,5275.0,18980,19,17100,25
all,3,preview,A,False,2026-05,93,93,92,1,2208,220800,153740,-67060,69.63,54.46,27,29.35,4,4.35,26,15.38,5694.07,2420,33490,10,73570,31
all,3,preview,A,False,2026-06,75,71,47,28,1128,112800,85710,-27090,75.98,59.16,17,36.17,2,4.26,20,10.0,5041.76,4880,18980,7,37590,25
all,3,preview,A,True,2026-05,93,93,58,35,1392,139200,140430,1230,100.88,76.82,20,34.48,4,6.9,26,15.38,7021.5,3110.0,33490,5,36890,31
all,3,preview,A,True,2026-06,75,71,37,38,888,88800,69300,-19500,78.04,56.67,12,32.43,2,5.41,20,10.0,5775,5275.0,18980,7,30000,25
all,3,preview,B,False,2026-05,93,93,92,1,1656,165600,123510,-42090,74.58,54.36,15,16.3,4,4.35,26,15.38,8234,2730,33490,17,54830,31
all,3,preview,B,False,2026-06,75,71,47,28,846,84600,63090,-21510,74.57,52.14,11,23.4,2,4.26,20,10.0,5735.45,4880,18980,7,33290,25
all,3,preview,B,True,2026-05,93,93,58,35,1044,104400,114010,9610,109.2,77.13,11,18.97,4,6.9,26,15.38,10364.55,3370,33490,10,26360,31
all,3,preview,B,True,2026-06,75,71,37,38,666,66600,48160,-18440,72.31,43.81,7,18.92,2,5.41,20,10.0,6880,5070,18980,7,30220,25
all,3,preview,C,False,2026-05,93,93,92,1,1104,110400,87300,-23100,79.08,48.74,13,14.13,3,3.26,26,11.54,6715.38,2420,33490,18,37040,31
all,3,preview,C,False,2026-06,75,71,47,28,564,56400,32930,-23470,58.39,48.58,9,19.15,0,0.0,20,0.0,3658.89,4870,5530,10,23470,25
all,3,preview,C,True,2026-05,93,93,58,35,696,69600,77800,8200,111.78,63.66,9,15.52,3,5.17,26,11.54,8644.44,3370,33490,13,16920,31
all,3,preview,C,True,2026-06,75,71,37,38,444,44400,18000,-26400,40.54,28.09,5,13.51,0,0.0,20,0.0,3600,4880,5530,10,26400,25
all,3,preview,D,False,2026-05,93,93,92,1,828,82800,88080,5280,106.38,65.93,16,17.39,2,2.17,26,7.69,5505,3110.0,33490,18,17510,31
all,3,preview,D,False,2026-06,75,71,47,28,423,42300,37870,-4430,89.53,73.74,11,23.4,0,0.0,20,0.0,3442.73,3020,6680,12,12810,25
all,3,preview,D,True,2026-05,93,93,58,35,522,52200,77020,24820,147.55,83.39,11,18.97,2,3.45,26,7.69,7001.82,3850,33490,13,11700,31
all,3,preview,D,True,2026-06,75,71,37,38,333,33300,22940,-10360,68.89,48.83,7,18.92,0,0.0,20,0.0,3277.14,2070,6680,11,15070,25
all,5,morning,A,False,2026-05,155,155,152,3,3648,364800,254260,-110540,69.7,60.52,51,33.55,6,3.95,41,14.63,4985.49,2420,33490,8,122890,31
all,5,morning,A,False,2026-06,125,119,79,46,1896,189600,191210,1610,100.85,77.17,30,37.97,4,5.06,28,14.29,6373.67,4875.0,44890,8,41010,25
all,5,morning,A,True,2026-05,155,155,98,57,2352,235200,204740,-30460,87.05,72.81,35,35.71,6,6.12,41,14.63,5849.71,2850,33490,13,60040,31
all,5,morning,A,True,2026-06,125,119,57,68,1368,136800,177980,41180,130.1,97.29,24,42.11,4,7.02,28,14.29,7415.83,5295.0,44890,7,17540,25
all,5,morning,B,False,2026-05,155,155,152,3,2736,273600,185340,-88260,67.74,55.5,29,19.08,6,3.95,41,14.63,6391.03,2730,33490,15,95770,31
all,5,morning,B,False,2026-06,125,119,79,46,1422,142200,118610,-23590,83.41,51.84,19,24.05,2,2.53,28,7.14,6242.63,4870,44890,11,42160,25
all,5,morning,B,True,2026-05,155,155,98,57,1764,176400,164410,-11990,93.2,74.22,19,19.39,6,6.12,41,14.63,8653.16,4260,33490,16,31470,31
all,5,morning,B,True,2026-06,125,119,57,68,1026,102600,106560,3960,103.86,60.11,14,24.56,2,3.51,28,7.14,7611.43,5110.0,44890,10,35720,25
all,5,morning,C,False,2026-05,155,155,152,3,1824,182400,136350,-46050,74.75,56.39,25,16.45,5,3.29,41,12.2,5454,2270,33490,20,55010,31
all,5,morning,C,False,2026-06,125,119,79,46,948,94800,97550,2750,102.9,55.55,17,21.52,1,1.27,28,3.57,5738.24,4010,44890,11,24760,25
all,5,morning,C,True,2026-05,155,155,98,57,1176,117600,115420,-2180,98.15,69.67,15,15.31,5,5.1,41,12.2,7694.67,4260,33490,26,31200,31
all,5,morning,C,True,2026-06,125,119,57,68,684,68400,85500,17100,125.0,59.37,12,21.05,1,1.75,28,3.57,7125,4975.0,44890,10,23120,25
all,5,morning,D,False,2026-05,155,155,152,3,1368,136800,99590,-37210,72.8,48.32,25,16.45,1,0.66,41,2.44,3983.6,2050,33490,27,54370,31
all,5,morning,D,False,2026-06,125,119,79,46,711,71100,64140,-6960,90.21,63.52,15,18.99,1,1.27,28,3.57,4276,3070,18980,18,24080,25
all,5,morning,D,True,2026-05,155,155,98,57,882,88200,72370,-15830,82.05,44.08,14,14.29,1,1.02,41,2.44,5169.29,1735.0,33490,18,44690,31
all,5,morning,D,True,2026-06,125,119,57,68,513,51300,52090,790,101.54,64.54,10,17.54,1,1.75,28,3.57,5209,4170.0,18980,16,24260,25
all,5,preview,A,False,2026-05,155,155,152,3,3648,364800,232560,-132240,63.75,53.7,45,29.61,5,3.29,41,12.2,5168,2140,36660,13,135580,31
all,5,preview,A,False,2026-06,125,119,79,46,1896,189600,121100,-68500,63.87,53.86,28,35.44,2,2.53,28,7.14,4325,3640.0,18980,8,80780,25
all,5,preview,A,True,2026-05,155,155,94,61,2256,225600,160820,-64780,71.29,56.44,31,32.98,4,4.26,41,9.76,5187.74,2220,33490,11,76930,31
all,5,preview,A,True,2026-06,125,119,61,64,1464,146400,102440,-43960,69.97,57.01,21,34.43,2,3.28,28,7.14,4878.1,4320,18980,7,57460,25
all,5,preview,B,False,2026-05,155,155,152,3,2736,273600,156070,-117530,57.04,44.8,28,18.42,4,2.63,41,9.76,5573.93,2205.0,33490,20,122070,31
all,5,preview,B,False,2026-06,125,119,79,46,1422,142200,76880,-65320,54.06,40.72,17,21.52,2,2.53,28,7.14,4522.35,3270,18980,10,75710,25
all,5,preview,B,True,2026-05,155,155,94,61,1692,169200,129760,-39440,76.69,56.9,19,20.21,4,4.26,41,9.76,6829.47,2420,33490,14,58090,31
all,5,preview,B,True,2026-06,125,119,61,64,1098,109800,60880,-48920,55.45,38.16,12,19.67,2,3.28,28,7.14,5073.33,3640.0,18980,9,61110,25
all,5,preview,C,False,2026-05,155,155,152,3,1824,182400,115950,-66450,63.57,45.21,25,16.45,3,1.97,41,7.32,4638,2130,33490,25,80760,31
all,5,preview,C,False,2026-06,125,119,79,46,948,94800,44350,-50450,46.78,40.95,13,16.46,0,0.0,28,0.0,3411.54,3270,5530,16,53260,25
all,5,preview,C,True,2026-05,155,155,94,61,1128,112800,89640,-23160,79.47,49.78,16,17.02,3,3.19,41,7.32,5602.5,2135.0,33490,18,43750,31
all,5,preview,C,True,2026-06,125,119,61,64,732,73200,28350,-44850,38.73,31.17,8,13.11,0,0.0,28,0.0,3543.75,3640.0,5530,14,47660,25
all,5,preview,D,False,2026-05,155,155,152,3,1368,136800,103870,-32930,75.93,51.45,25,16.45,2,1.32,41,4.88,4154.8,2140,33490,24,46510,31
all,5,preview,D,False,2026-06,125,119,79,46,711,71100,45280,-25820,63.68,54.29,14,17.72,0,0.0,28,0.0,3234.29,3045.0,6680,18,25820,25
all,5,preview,D,True,2026-05,155,155,94,61,846,84600,83140,-1460,98.27,58.69,16,17.02,2,2.13,41,4.88,5196.25,2635.0,33490,15,26460,31
all,5,preview,D,True,2026-06,125,119,61,64,549,54900,29280,-25620,53.33,41.17,9,14.75,0,0.0,28,0.0,3253.33,3070,6680,16,25620,25
all,10,morning,A,False,2026-05,310,310,304,6,7296,729600,524670,-204930,71.91,63.94,98,32.24,14,4.61,73,19.18,5353.78,2595.0,58170,12,273690,31
all,10,morning,A,False,2026-06,250,237,156,94,3744,374400,285130,-89270,76.16,64.17,55,35.26,5,3.21,49,10.2,5184.18,3890,44890,8,90880,25
all,10,morning,A,True,2026-05,310,310,205,105,4920,492000,386660,-105340,78.59,71.78,71,34.63,13,6.34,73,17.81,5445.92,2680,33490,10,149150,31
all,10,morning,A,True,2026-06,250,237,107,143,2568,256800,257940,1140,100.44,82.96,44,41.12,5,4.67,49,10.2,5862.27,4255.0,44890,6,39100,25
all,10,morning,B,False,2026-05,310,310,304,6,5472,547200,382230,-164970,69.85,59.22,58,19.08,11,3.62,73,15.07,6590.17,3290.0,58170,19,220960,31
all,10,morning,B,False,2026-06,250,237,156,94,2808,280800,172270,-108530,61.35,45.36,34,21.79,3,1.92,49,6.12,5066.76,3610.0,44890,12,110740,25
all,10,morning,B,True,2026-05,310,310,205,105,3690,369000,280950,-88050,76.14,67.06,41,20.0,10,4.88,73,13.7,6852.44,3910,33490,22,114560,31
all,10,morning,B,True,2026-06,250,237,107,143,1926,192600,149750,-42850,77.75,54.44,26,24.3,3,2.8,49,6.12,5759.62,4010.0,44890,13,54340,25
all,10,morning,C,False,2026-05,310,310,304,6,3648,364800,201530,-163270,55.24,46.06,44,14.47,5,1.64,73,6.85,4580.23,2480.0,33490,35,174810,31
all,10,morning,C,False,2026-06,250,237,156,94,1872,187200,148780,-38420,79.48,55.5,31,19.87,2,1.28,49,4.08,4799.35,3330,44890,12,53030,25
all,10,morning,C,True,2026-05,310,310,205,105,2460,246000,158420,-87580,64.4,50.78,28,13.66,5,2.44,73,6.85,5657.86,3855.0,33490,31,100280,31
all,10,morning,C,True,2026-06,250,237,107,143,1284,128400,126260,-2140,98.33,63.37,23,21.5,2,1.87,49,4.08,5489.57,4010,44890,13,33970,25
all,10,morning,D,False,2026-05,310,310,304,6,2736,273600,182070,-91530,66.55,54.31,45,14.8,3,0.99,73,4.11,4046,2220,33490,22,116560,31
all,10,morning,D,False,2026-06,250,237,156,94,1404,140400,109980,-30420,78.33,64.81,28,17.95,1,0.64,49,2.04,3927.86,2890.0,18980,28,36120,25
all,10,morning,D,True,2026-05,310,310,205,105,1845,184500,137630,-46870,74.6,56.44,30,14.63,3,1.46,73,4.11,4587.67,2330.0,33490,20,79320,31
all,10,morning,D,True,2026-06,250,237,107,143,963,96300,90380,-5920,93.85,74.14,21,19.63,1,0.93,49,2.04,4303.81,3070,18980,24,28010,25
all,10,preview,A,False,2026-05,310,310,304,6,7296,729600,499060,-230540,68.4,60.43,91,29.93,12,3.95,73,16.44,5484.18,2420,58170,19,260050,31
all,10,preview,A,False,2026-06,250,237,156,94,3744,374400,254650,-119750,68.02,62.95,60,38.46,3,1.92,49,6.12,4244.17,3320.0,18980,8,125300,25
all,10,preview,A,True,2026-05,310,310,209,101,5016,501600,382150,-119450,76.19,64.59,66,31.58,10,4.78,73,13.7,5790.15,2430.0,58170,19,184040,31
all,10,preview,A,True,2026-06,250,237,114,136,2736,273600,181960,-91640,66.51,59.57,41,35.96,2,1.75,49,4.08,4438.05,3600,18980,8,97190,25
all,10,preview,B,False,2026-05,310,310,304,6,5472,547200,361330,-185870,66.03,55.4,53,17.43,10,3.29,73,13.7,6817.55,2730,58170,28,226110,31
all,10,preview,B,False,2026-06,250,237,156,94,2808,280800,160750,-120050,57.25,50.49,37,23.72,3,1.92,49,6.12,4344.59,3330,18980,14,122260,25
all,10,preview,B,True,2026-05,310,310,209,101,3762,376200,305550,-70650,81.22,65.76,39,18.66,9,4.31,73,12.33,7834.62,3370,58170,21,142350,31
all,10,preview,B,True,2026-06,250,237,114,136,2052,205200,111790,-93410,54.48,45.23,25,21.93,2,1.75,49,4.08,4471.6,3270,18980,14,96330,25
all,10,preview,C,False,2026-05,310,310,304,6,3648,364800,200190,-164610,54.88,45.7,41,13.49,5,1.64,73,6.85,4882.68,2440,33490,32,172580,31
all,10,preview,C,False,2026-06,250,237,156,94,1872,187200,115790,-71410,61.85,56.49,29,18.59,1,0.64,49,2.04,3992.76,3970,10040,19,74520,25
all,10,preview,C,True,2026-05,310,310,209,101,2508,250800,144410,-106390,57.58,44.23,27,12.92,4,1.91,73,5.48,5348.52,3290,33490,29,123060,31
all,10,preview,C,True,2026-06,250,237,114,136,1368,136800,74840,-61960,54.71,47.47,19,16.67,0,0.0,49,0.0,3938.95,3970,9900,17,65070,25
all,10,preview,D,False,2026-05,310,310,304,6,2736,273600,161140,-112460,58.9,46.66,43,14.14,3,0.99,73,4.11,3747.44,2220,33490,27,124210,31
all,10,preview,D,False,2026-06,250,237,156,94,1404,140400,108020,-32380,76.94,70.57,30,19.23,0,0.0,49,0.0,3600.67,3045.0,8940,24,36340,25
all,10,preview,D,True,2026-05,310,310,209,101,1881,188100,130250,-57850,69.25,51.44,30,14.35,3,1.44,73,4.11,4341.67,2430.0,33490,21,79820,31
all,10,preview,D,True,2026-06,250,237,114,136,1026,102600,70110,-32490,68.33,59.62,20,17.54,0,0.0,49,0.0,3505.5,2630.0,8940,21,32590,25
strict,1,morning,A,False,2026-05,31,31,31,0,744,74400,51640,-22760,69.41,44.48,10,32.26,1,3.23,12,8.33,5164,2200.0,18550,10,38910,31
strict,1,morning,A,False,2026-06,24,23,16,8,384,38400,14380,-24020,37.45,23.15,4,25.0,0,0.0,9,0.0,3595,3650.0,5490,5,24740,24
