condition_count,condition,atom_ids,races,manshu_races,manshu_rate_pct,lift_vs_all,recent_races_2025_plus,recent_manshu_races_2025_plus,recent_manshu_rate_pct,avg_payout_yen,b1_fly_pct,outer56_top3_pct,rank6_top3_pct,winner_3to6_pct,score
7,1号艇AI予測30%未満 × 5/6号艇に展示2位以内 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内 × AI+最下位が3〜6号艇 × 前半1〜6R,"b1_ai_pred_lt30,outer56_tenji_top2,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2,rank6_boat_36,front_1_6r",165,48,29.09,1.73,98,29,29.59,9143,49.7,80.0,29.09,56.36,36.3867
5,1号艇展示4位以下 × 1号艇AI予測30%未満 × 5/6号艇AI+最大110以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内,"b1_tenji_ge4,b1_ai_pred_lt30,outer56_aiplus_ge110,rank6_avgdiff_ge010,rank6_tenji_top2",163,47,28.83,1.715,96,30,31.25,9282,51.53,80.37,28.83,58.9,36.3282
5,1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × AI+最下位平均との差0.14以上 × 前半1〜6R,"b1_ai_pred_lt30,outer56_ai_pred_ge12,rank6_tenji_top2,rank6_avgdiff_ge014,front_1_6r",201,57,28.36,1.686,117,33,28.21,8280,48.76,83.08,33.33,59.2,36.3073
5,1号艇逃げ率45%未満 × 1号艇展示5位以下 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内,"b1_nige_lt45,b1_tenji_ge5,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2",195,56,28.72,1.708,115,34,29.57,8491,41.54,81.54,27.18,53.33,36.2045
5,1号艇AI予測25%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内 × 前半1〜6R,"b1_ai_pred_lt25,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2,front_1_6r",166,49,29.52,1.755,94,27,28.72,8447,54.82,79.52,29.52,58.43,36.1632
5,1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内 × AI+最下位が5/6号艇,"b1_ai_pred_lt30,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2,rank6_boat_56",189,55,29.1,1.731,114,33,28.95,8113,48.15,78.84,31.22,51.32,36.0339
5,1号艇逃げ率45%未満 × 1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+5位が展示2位以内,"b1_nige_lt45,b1_ai_pred_lt30,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank5_tenji_top2",232,70,30.17,1.794,134,37,27.61,10572,48.28,84.91,28.02,57.76,35.8502
5,1号艇逃げ失敗45%以上 × 5/6号艇AI予測最大12%以上 × AI+5位が展示2位以内 × 風または波5以上 × 前半1〜6R,"b1_loss_ge45,outer56_ai_pred_ge12,rank5_tenji_top2,wind_wave_ge5,front_1_6r",443,124,27.99,1.665,152,44,28.95,8695,40.41,79.68,15.8,51.69,35.8017
5,1号艇逃げ失敗40%以上 × 1号艇AI予測25%未満 × 5/6号艇AI予測最大12%以上 × 風または波5以上 × 1〜3R,"b1_loss_ge40,b1_ai_pred_lt25,outer56_ai_pred_ge12,wind_wave_ge5,round_1_3",318,88,27.67,1.646,121,43,35.54,9376,53.77,80.82,20.13,57.55,35.7986
7,1号艇逃げ失敗45%以上 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × AI+5位が展示2位以内 × AI+最下位が3〜6号艇 × 前半1〜6R × 1〜3R,"b1_loss_ge45,outer56_ai_pred_ge12,rank6_tenji_top2,rank5_tenji_top2,rank6_boat_36,front_1_6r,round_1_3",181,53,29.28,1.741,51,20,39.22,9781,41.44,70.72,25.97,52.49,35.7802
5,1号艇逃げ率45%未満 × 1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内,"b1_nige_lt45,b1_ai_pred_lt30,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2",293,84,28.67,1.705,179,50,27.93,8704,49.49,80.55,30.72,54.95,35.7687
