status,date,place_name,round,deadline_time,race_id,race_kind,series_title,is_joshi,best_manshu_rate_pct,base_manshu_rate_pct,composite_edge_base_rate_pct,composite_edge_bonus_pct,composite_edges,best_recent_rate_pct,best_condition,matched_logic_count,payout,trifecta,b1_ai_prediction_pct,b1_ai_plus,b1_ai_plus_order,b1_nige_pct,b1_loss_pct,b1_avg_isshu_diff,b1_isshu_avg_diff,avg_isshu_time,avg_exhibit_combo_time,is_summer,b1_summer_isshu_factor,b1_summer_nige_delta_pp,b1_tenji_time,b1_isshu_time,outer56_best_avg_isshu_diff,outer56_best_ai_prediction_pct,outer56_best_tenji_time,outer56_best_isshu_time,ai_rank6_boat,ai_rank6_avg_isshu_diff,ai_rank6_tenji_rank,ai_rank6_isshu_rank,ai_rank5_boat,ai_rank5_avg_isshu_diff,ai_rank5_tenji_rank,ai_rank5_isshu_rank,double_time_boats,super_slit_boats,super_slit_alert_count,mid234_super_slit_count,outer456_super_slit_count,outer56_super_slit_count,slit_shape_label,b1_slit_gap_vs_23,b3_slit_adv_vs_12,b4_slit_adv_vs_123,outer56_slit_adv_vs_1,outer456_slit_adv_vs_123,slit_dekoboko,slit_b1_front_wall,slit_b1_hole_vs_23,slit_b2_wall_break_3peek,slit_b3_peek_vs_12,slit_b4_cadou_peek,slit_outer456_pressure,slit_outer56_pressure_vs_1,boat1_double_time,mid234_double_time_count,outer46_double_time_count,outer56_double_time_count,wind_speed,wave_height,tenji_boats,isshu_boats
展示待ち,2026-06-20,宮島,8,2026-06-20T14:25:00+09:00,2026-06-201708,nan,マスターズリーグ第２戦デイリースポーツ杯,0,28.29,28.29,,0,[],30.0,会場: 宮島 × 1号艇逃げ率<50% × 1号艇差され+まくられ率>=40% × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.03秒以上速い,15,nan,nan,nan,nan,nan,36.0,44.0,nan,nan,nan,nan,1,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,0,0,0,0,2壁割れ3覗き,0.031299999999999994,0.031299999999999994,-0.05080000000000001,0.005699999999999983,-0.02560000000000001,1,0,1,1,1,0,0,1,0,0,0,0,nan,nan,0,0
展示待ち,2026-06-20,若松,2,2026-06-20T18:08:00+09:00,2026-06-202002,nan,ＭＮＢＲ若松２ｎｄＢＯＡＴＢｏｙカップ,0,27.99,27.99,,0,[],26.28,会場: 若松 × 1号艇逃げ率<50% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇に1周2位以内,5,nan,nan,nan,nan,nan,46.43,21.43,nan,nan,nan,nan,1,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,0,0,0,0,外圧,-0.03839999999999999,-0.03839999999999999,-0.01629999999999998,0.014899999999999997,0.014899999999999997,1,0,0,0,0,0,1,1,0,0,0,0,nan,nan,0,0
展示待ち,2026-06-20,宮島,3,2026-06-20T11:43:00+09:00,2026-06-201703,nan,マスターズリーグ第２戦デイリースポーツ杯,0,27.73,27.73,,0,[],29.35,会場: 宮島 × 1号艇差され+まくられ率>=40% × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.03秒以上速い,10,nan,nan,nan,nan,nan,50.0,43.28,nan,nan,nan,nan,1,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,0,0,0,0,外圧,0.005299999999999999,-0.0067000000000000115,0.006199999999999983,0.023400000000000004,0.018100000000000005,0,0,0,0,0,0,1,1,0,0,0,0,nan,nan,0,0
展示待ち,2026-06-20,丸亀,5,2026-06-20T17:04:00+09:00,2026-06-201505,Rookie3rdAdd,スカパー！ＪＬＣ杯争奪　ルーキーシリーズ第１４戦,0,27.55,27.55,,0,[],28.37,会場: 丸亀 × 1〜6R × 1号艇逃げ率<40% × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: AI予測下位5/6号艇が展示/1周2位以内,14,nan,nan,nan,nan,nan,36.36,36.36,nan,nan,nan,nan,1,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,0,0,0,0,1凹み+外圧,0.02529999999999999,0.005500000000000005,-0.011699999999999988,0.05479999999999999,0.0295,1,0,1,0,0,0,1,1,0,0,0,0,nan,nan,0,0
展示待ち,2026-06-20,宮島,10,2026-06-20T15:30:00+09:00,2026-06-201710,nan,マスターズリーグ第２戦デイリースポーツ杯,0,27.4,27.4,,0,[],34.04,会場: 宮島 × 1号艇差され+まくられ率>=30% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.05秒以上速い,10,nan,nan,nan,nan,nan,36.67,36.67,nan,nan,nan,nan,1,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,0,0,0,0,,-0.021100000000000008,-0.02890000000000001,-0.001700000000000007,-0.028499999999999998,-0.001700000000000007,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0
展示待ち,2026-06-20,宮島,4,2026-06-20T12:12:00+09:00,2026-06-201704,nan,マスターズリーグ第２戦デイリースポーツ杯,0,27.4,27.4,,0,[],34.04,会場: 宮島 × 1号艇差され+まくられ率>=30% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.05秒以上速い,7,nan,nan,nan,nan,nan,42.86,32.15,nan,nan,nan,nan,1,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,0,0,0,0,2壁割れ3覗き,0.038500000000000006,0.038500000000000006,-0.03589999999999999,0.007100000000000023,-0.031399999999999983,1,0,1,1,1,0,1,1,0,0,0,0,nan,nan,0,0
展示待ち,2026-06-20,宮島,11,2026-06-20T16:03:00+09:00,2026-06-201711,nan,マスターズリーグ第２戦デイリースポーツ杯,0,27.4,27.4,,0,[],34.04,会場: 宮島 × 1号艇差され+まくられ率>=30% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.05秒以上速い,7,nan,nan,nan,nan,nan,40.91,31.82,nan,nan,nan,nan,1,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,0,0,0,0,2壁割れ3覗き,0.07319999999999999,0.0416,-0.04519999999999999,0.05529999999999999,-0.0179,1,0,1,1,1,0,0,1,0,0,0,0,nan,nan,0,0
展示待ち,2026-06-20,宮島,12,2026-06-20T16:50:00+09:00,2026-06-201712,nan,マスターズリーグ第２戦デイリースポーツ杯,0,27.4,27.4,,0,[],34.04,会場: 宮島 × 1号艇差され+まくられ率>=30% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.05秒以上速い,4,nan,nan,nan,nan,nan,61.54,30.77,nan,nan,nan,nan,1,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,0,0,0,0,1凹み,0.0489,-0.07980000000000001,-0.01780000000000001,-0.0012000000000000066,-0.01780000000000001,1,0,1,0,0,0,0,0,0,0,0,0,nan,nan,0,0
展示待ち,2026-06-20,浜名湖,5,2026-06-20T13:28:00+09:00,2026-06-200605,nan,にっぽん未来プロジェクト競走ｉｎ浜名湖,0,27.3,27.3,,0,[],27.27,会場: 浜名湖 × 1〜6R × 1号艇逃げ率<35% × 1号艇差され+まくられ率>=35% × 展示: 5/6号艇が2艇とも展示/1周2位以内,3,nan,nan,nan,nan,nan,33.33,40.0,nan,nan,nan,nan,1,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,0,0,0,0,2壁割れ3覗き,0.019199999999999995,0.019199999999999995,-0.03489999999999999,0.013899999999999996,-0.005299999999999999,1,0,0,1,1,0,1,1,0,0,0,0,nan,nan,0,0
展示待ち,2026-06-20,浜名湖,6,2026-06-20T14:02:00+09:00,2026-06-200606,nan,にっぽん未来プロジェクト競走ｉｎ浜名湖,0,27.3,27.3,,0,[],27.27,会場: 浜名湖 × 1〜6R × 1号艇逃げ率<35% × 1号艇差され+まくられ率>=35% × 展示: 5/6号艇が2艇とも展示/1周2位以内,3,nan,nan,nan,nan,nan,29.17,37.5,nan,nan,nan,nan,1,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,0,0,0,0,1凹み,0.05509999999999998,-0.01529999999999998,-0.044499999999999984,0.040699999999999986,-0.014399999999999996,1,0,1,0,0,0,0,1,0,0,0,0,nan,nan,0,0
展示待ち,2026-06-20,宮島,9,2026-06-20T14:57:00+09:00,2026-06-201709,nan,マスターズリーグ第２戦デイリースポーツ杯,0,27.21,27.21,,0,[],34.04,会場: 宮島 × 1号艇逃げ率<50% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.05秒以上速い,2,nan,nan,nan,nan,nan,41.67,29.17,nan,nan,nan,nan,1,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,0,0,0,0,1凹み,0.02589999999999998,-0.09609999999999999,-0.014100000000000001,-0.021900000000000003,-0.014100000000000001,1,0,1,0,0,0,0,0,0,0,0,0,nan,nan,0,0
