status,date,place_name,round,deadline_time,race_id,race_grade,race_kind,series_title,is_joshi,ranking_type,best_manshu_rate_pct,base_manshu_rate_pct,composite_edge_base_rate_pct,composite_edge_bonus_pct,composite_edges,best_recent_rate_pct,best_condition,matched_logic_count,payout,trifecta,b1_ai_prediction_pct,b1_odds_prediction_pct,b1_odds_rank,b1_trifecta_top5_1head,trifecta_top5_head1_count,trifecta_top5_count,trifecta_top1_odds,trifecta_top5_avg_odds,trifecta_top5_combos,trifecta_odds_snapshot_at,b1_ai_plus,b1_ai_plus_order,b1_nige_pct,b1_loss_pct,b1_avg_isshu_diff,b1_isshu_avg_diff,avg_isshu_time,avg_exhibit_combo_time,lap_time_type,is_summer,b1_summer_isshu_factor,b1_summer_nige_delta_pp,b1_tenji_time,b1_tenji_rank,b1_tenji_time_rank,b1_isshu_time,b1_isshu_rank,outer56_best_avg_isshu_diff,outer56_best_ai_prediction_pct,outer56_best_ai_plus,outer56_best_tenji_time,outer56_best_isshu_time,outer56_tenji_top2_count,outer56_isshu_top2_count,outer56_exhibit_top2_count,ai_rank6_boat,ai_rank6_avg_isshu_diff,ai_rank6_ai_prediction_pct,ai_rank6_tenji_rank,ai_rank6_isshu_rank,ai_rank5_boat,ai_rank5_avg_isshu_diff,ai_rank5_ai_prediction_pct,ai_rank5_tenji_rank,ai_rank5_isshu_rank,low_outer_boat,low_outer_ai_plus_rank,low_outer_avg_isshu_diff,low_outer_ai_prediction_pct,low_outer_tenji_rank,low_outer_isshu_rank,low_outer_exhibit_top2,center_attack_wall_outer,weather_pressure,outer_isshu_priority_b1weak,b1_full_tobashi_shape,longshot_head_boats,longshot_head_candidate_count,longshot_head_with_b1_gap,double_time_boats,super_slit_boats,super_slit_alert_count,mid234_super_slit_count,outer456_super_slit_count,outer56_super_slit_count,slit_shape_label,b1_slit_gap_vs_23,b3_slit_adv_vs_12,b4_slit_adv_vs_123,outer56_slit_adv_vs_1,outer456_slit_adv_vs_123,slit_dekoboko,slit_b1_front_wall,slit_b1_hole_vs_23,slit_b2_wall_break_3peek,slit_b3_peek_vs_12,slit_b4_cadou_peek,slit_outer456_pressure,slit_outer56_pressure_vs_1,matchup_lane1_pressure_score,matchup_outer_good_count,matchup_lane1_bad_flag,matchup_notes,matchup_buff_boats,b1_matchup_label,b2_matchup_label,b3_matchup_label,b4_matchup_label,b5_matchup_label,b6_matchup_label,b2_ai_prediction_pct,b3_ai_prediction_pct,b4_ai_prediction_pct,b5_ai_prediction_pct,b6_ai_prediction_pct,b1_ai_3ren_pct,b2_ai_3ren_pct,b3_ai_3ren_pct,b4_ai_3ren_pct,b5_ai_3ren_pct,b6_ai_3ren_pct,b1_general_3ren_pct,b2_general_3ren_pct,b3_general_3ren_pct,b4_general_3ren_pct,b5_general_3ren_pct,b6_general_3ren_pct,b1_st_rank_general,b2_st_rank_general,b3_st_rank_general,b4_st_rank_general,b5_st_rank_general,b6_st_rank_general,b1_st_time_avg_general,b2_st_time_avg_general,b3_st_time_avg_general,b4_st_time_avg_general,b5_st_time_avg_general,b6_st_time_avg_general,b2_ai_plus,b3_ai_plus,b4_ai_plus,b5_ai_plus,b6_ai_plus,b2_ai_plus_order,b3_ai_plus_order,b4_ai_plus_order,b5_ai_plus_order,b6_ai_plus_order,boat1_double_time,mid234_double_time_count,outer46_double_time_count,outer56_double_time_count,wind_speed,wave_height,tenji_boats,raw_isshu_boats,hanshu_boats,isshu_boats
厳選統合,2026-06-30,三国,4,2026-06-30T09:50:00+09:00,2026-06-301004,Ippan,,ディアボート三国リニューアル１１周年記念競走,0,strict,23.52,16.82,,6.7,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 3, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性バフ', '5号艇相性バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性バフ', '5号艇相性バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_buff_2', 'label': '対戦相性: 2号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 2, 'label': '相性バフ', 'meetings': 97.0, 'ahead_rate': 0.58763, 'top3_rate': 0.63918, 'head_bonus': 6.488, 'axis_bonus': 4.584}}, {'id': 'codex_matchup_buff_5', 'label': '対戦相性: 5号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 5, 'label': '相性バフ', 'meetings': 93.0, 'ahead_rate': 0.62366, 'top3_rate': 0.66667, 'head_bonus': 6.089, 'axis_bonus': 5.765}}, {'id': 'codex_matchup_buff_6', 'label': '対戦相性: 6号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 6, 'label': '相性バフ', 'meetings': 69.0, 'ahead_rate': 0.63768, 'top3_rate': 0.63768, 'head_bonus': 5.573, 'axis_bonus': 5.352}}, {'id': 'codex_allvenue_early', 'label': '全場: 前半1〜6Rで荒れ材料あり', 'historical_rate_pct': None, 'bonus_pct': 0.4, 'role': 'context_up', 'details': {}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,3,1,2号艇相性バフ|5号艇相性バフ|6号艇相性バフ,"2,5,6",相性デバフ,相性バフ,相性標準,相性標準,相性バフ,相性バフ,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-30,三国,11,2026-06-30T13:24:00+09:00,2026-06-301011,Ippan,,ディアボート三国リニューアル１１周年記念競走,0,strict,22.92,16.82,,6.1,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 3, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性軸バフ', '3号艇相性バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性軸バフ', '3号艇相性バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_buff_3', 'label': '対戦相性: 3号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 3, 'label': '相性バフ', 'meetings': 33.0, 'ahead_rate': 0.66667, 'top3_rate': 0.54545, 'head_bonus': 6.543, 'axis_bonus': 3.787}}, {'id': 'codex_matchup_buff_6', 'label': '対戦相性: 6号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 6, 'label': '相性バフ', 'meetings': 28.0, 'ahead_rate': 0.64286, 'top3_rate': 0.67857, 'head_bonus': 7.189, 'axis_bonus': 5.912}}, {'id': 'codex_matchup_axis_buff_2', 'label': '対戦相性: 2号艇が今回メンバー相手に3着内上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.7, 'role': 'outer_top3_up', 'details': {'boat': 2, 'label': '相性軸バフ', 'meetings': 31.0, 'ahead_rate': 0.51613, 'top3_rate': 0.70968, 'axis_bonus': 5.0}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,3,1,2号艇相性軸バフ|3号艇相性バフ|6号艇相性バフ,"2,3,6",相性標準,相性軸バフ,相性バフ,相性標準,相性標準,相性バフ,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-30,多摩川,2,2026-06-30T12:02:00+09:00,2026-06-300502,Ippan,,第６２回日刊スポーツ賞,0,strict,22.62,16.82,,5.8,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 2, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['5号艇相性バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['5号艇相性バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_buff_5', 'label': '対戦相性: 5号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 5, 'label': '相性バフ', 'meetings': 39.0, 'ahead_rate': 0.76923, 'top3_rate': 0.69231, 'head_bonus': 8.0, 'axis_bonus': 7.671}}, {'id': 'codex_matchup_buff_6', 'label': '対戦相性: 6号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 6, 'label': '相性バフ', 'meetings': 24.0, 'ahead_rate': 0.58333, 'top3_rate': 0.66667, 'head_bonus': 5.115, 'axis_bonus': 4.096}}, {'id': 'codex_allvenue_early', 'label': '全場: 前半1〜6Rで荒れ材料あり', 'historical_rate_pct': None, 'bonus_pct': 0.4, 'role': 'context_up', 'details': {}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,2,1,5号艇相性バフ|6号艇相性バフ,"5,6",相性標準,相性標準,相性デバフ,相性標準,相性バフ,相性バフ,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-30,常滑,2,2026-06-30T11:08:00+09:00,2026-06-300802,Ippan,,デイリースポーツ杯争奪・ＢＴＳ高浜開設記念競走,0,strict,22.62,16.82,,5.8,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 2, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_buff_2', 'label': '対戦相性: 2号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 2, 'label': '相性バフ', 'meetings': 22.0, 'ahead_rate': 0.68182, 'top3_rate': 0.68182, 'head_bonus': 5.443, 'axis_bonus': 5.155}}, {'id': 'codex_matchup_buff_5', 'label': '対戦相性: 5号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 5, 'label': '相性バフ', 'meetings': 15.0, 'ahead_rate': 0.73333, 'top3_rate': 0.73333, 'head_bonus': 4.5, 'axis_bonus': 4.0}}, {'id': 'codex_allvenue_early', 'label': '全場: 前半1〜6Rで荒れ材料あり', 'historical_rate_pct': None, 'bonus_pct': 0.4, 'role': 'context_up', 'details': {}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,2,1,2号艇相性バフ|5号艇相性バフ,"2,5",相性標準,相性バフ,相性標準,相性データ薄,相性バフ,相性データ薄,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-30,三国,5,2026-06-30T10:18:00+09:00,2026-06-301005,Ippan,,ディアボート三国リニューアル１１周年記念競走,0,strict,22.62,16.82,,5.8,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 2, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['4号艇相性バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['4号艇相性バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_buff_4', 'label': '対戦相性: 4号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 4, 'label': '相性バフ', 'meetings': 33.0, 'ahead_rate': 0.66667, 'top3_rate': 0.69697, 'head_bonus': 8.0, 'axis_bonus': 7.12}}, {'id': 'codex_matchup_buff_6', 'label': '対戦相性: 6号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 6, 'label': '相性バフ', 'meetings': 23.0, 'ahead_rate': 0.69565, 'top3_rate': 0.69565, 'head_bonus': 5.651, 'axis_bonus': 5.792}}, {'id': 'codex_allvenue_early', 'label': '全場: 前半1〜6Rで荒れ材料あり', 'historical_rate_pct': None, 'bonus_pct': 0.4, 'role': 'context_up', 'details': {}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,2,1,4号艇相性バフ|6号艇相性バフ,"4,6",相性デバフ,相性標準,相性標準,相性バフ,相性標準,相性バフ,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-30,びわこ,6,2026-06-30T13:09:00+09:00,2026-06-301106,Ippan,,第１４回近江牛カップ,0,strict,22.62,16.82,,5.8,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 2, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['3号艇相性バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['3号艇相性バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_buff_3', 'label': '対戦相性: 3号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 3, 'label': '相性バフ', 'meetings': 31.0, 'ahead_rate': 0.67742, 'top3_rate': 0.74194, 'head_bonus': 8.0, 'axis_bonus': 7.519}}, {'id': 'codex_matchup_buff_6', 'label': '対戦相性: 6号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 6, 'label': '相性バフ', 'meetings': 35.0, 'ahead_rate': 0.71429, 'top3_rate': 0.74286, 'head_bonus': 8.0, 'axis_bonus': 8.0}}, {'id': 'codex_allvenue_early', 'label': '全場: 前半1〜6Rで荒れ材料あり', 'historical_rate_pct': None, 'bonus_pct': 0.4, 'role': 'context_up', 'details': {}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,2,1,3号艇相性バフ|6号艇相性バフ,"3,6",相性デバフ,相性標準,相性バフ,相性標準,相性標準,相性バフ,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-30,下関,6,2026-06-30T17:57:00+09:00,2026-06-301906,Ippan,,瞬報社杯,0,strict,22.62,16.82,,5.8,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 2, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['3号艇相性バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['3号艇相性バフ', '5号艇相性バフ']}}, {'id': 'codex_matchup_buff_3', 'label': '対戦相性: 3号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 3, 'label': '相性バフ', 'meetings': 27.0, 'ahead_rate': 0.59259, 'top3_rate': 0.59259, 'head_bonus': 5.937, 'axis_bonus': 3.275}}, {'id': 'codex_matchup_buff_5', 'label': '対戦相性: 5号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 5, 'label': '相性バフ', 'meetings': 25.0, 'ahead_rate': 0.72, 'top3_rate': 0.76, 'head_bonus': 7.5, 'axis_bonus': 6.667}}, {'id': 'codex_allvenue_early', 'label': '全場: 前半1〜6Rで荒れ材料あり', 'historical_rate_pct': None, 'bonus_pct': 0.4, 'role': 'context_up', 'details': {}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,2,1,3号艇相性バフ|5号艇相性バフ,"3,5",相性デバフ,相性データ薄,相性バフ,相性標準,相性バフ,相性標準,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-30,多摩川,4,2026-06-30T13:03:00+09:00,2026-06-300504,Ippan,,第６２回日刊スポーツ賞,0,strict,22.42,16.82,,5.6,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 2, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性バフ', '3号艇相性軸バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['2号艇相性バフ', '3号艇相性軸バフ']}}, {'id': 'codex_matchup_buff_2', 'label': '対戦相性: 2号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 2, 'label': '相性バフ', 'meetings': 41.0, 'ahead_rate': 0.56098, 'top3_rate': 0.63415, 'head_bonus': 5.901, 'axis_bonus': 4.047}}, {'id': 'codex_matchup_axis_buff_3', 'label': '対戦相性: 3号艇が今回メンバー相手に3着内上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.7, 'role': 'outer_top3_up', 'details': {'boat': 3, 'label': '相性軸バフ', 'meetings': 33.0, 'ahead_rate': 0.57576, 'top3_rate': 0.63636, 'axis_bonus': 4.332}}, {'id': 'codex_allvenue_early', 'label': '全場: 前半1〜6Rで荒れ材料あり', 'historical_rate_pct': None, 'bonus_pct': 0.4, 'role': 'context_up', 'details': {}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,2,1,2号艇相性バフ|3号艇相性軸バフ,"2,3",相性デバフ,相性バフ,相性軸バフ,相性標準,相性データ薄,相性標準,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
厳選統合,2026-06-30,大村,5,2026-06-30T17:24:00+09:00,2026-06-302405,Ippan,,スポーツ報知杯,0,strict,22.42,16.82,,5.6,"[{'id': 'codex_matchup_outer_good2', 'label': '対戦相性: 1号艇に強い相性バフ艇が2艇以上', 'historical_rate_pct': None, 'bonus_pct': 2.2, 'role': 'matchup_manshu_up', 'details': {'matchup_outer_good_count': 2, 'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['3号艇相性軸バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_lane1_bad', 'label': '対戦相性: 1号艇が今回メンバー相手に劣勢', 'historical_rate_pct': None, 'bonus_pct': 1.4, 'role': 'b1_fly_up', 'details': {'matchup_lane1_pressure_score': 0.0, 'matchup_notes': ['3号艇相性軸バフ', '6号艇相性バフ']}}, {'id': 'codex_matchup_buff_6', 'label': '対戦相性: 6号艇が今回メンバー相手に上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.9, 'role': 'head_up', 'details': {'boat': 6, 'label': '相性バフ', 'meetings': 20.0, 'ahead_rate': 0.65, 'top3_rate': 0.6, 'head_bonus': 5.027, 'axis_bonus': 3.147}}, {'id': 'codex_matchup_axis_buff_3', 'label': '対戦相性: 3号艇が今回メンバー相手に3着内上振れ', 'historical_rate_pct': None, 'bonus_pct': 0.7, 'role': 'outer_top3_up', 'details': {'boat': 3, 'label': '相性軸バフ', 'meetings': 23.0, 'ahead_rate': 0.82609, 'top3_rate': 0.69565, 'axis_bonus': 5.937}}, {'id': 'codex_allvenue_early', 'label': '全場: 前半1〜6Rで荒れ材料あり', 'historical_rate_pct': None, 'bonus_pct': 0.4, 'role': 'context_up', 'details': {}}]",,Codex厳選ランキング: 過去27%以上条件、1号艇弱化、外枠上振れ、AI/オッズ、展示+有効ラップ、スリット隊形、女子戦、天候、対戦相性を全統合 × Codex複合補正: 対戦相性: 1号艇に強い相性バフ艇が2艇以上 / 対戦相性: 1号艇が今回メンバー相手に劣勢,0,,,,,,0,0,0,nan,nan,,,,,,,,,,,,1,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,0,0,0,,0,0,,,0,0,0,0,,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,2,1,3号艇相性軸バフ|6号艇相性バフ,"3,6",相性標準,相性標準,相性軸バフ,相性標準,相性標準,相性バフ,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,0,0,0,0,,,0,0,0,0
